Updated 04/25/25 at 12:07am,Position Rank,Position,Team,Value,Age,Rookie,SFPosition Rank,SFValue,RdrftPosition Rank,RdrftValue
Nick Westbrook-Ikhine,WR110,WR,MIA,1824,28.1,No,WR114,1451,,0
Jalen Nailor,WR111,WR,MIN,1818,26.1,No,WR110,1526,,0
Dawson Knox,TE40,TE,BUF,1810,28.4,No,TE40,1647,,0
Tez Johnson,WR112,WR,FA,1804,-1.0,Yes,WR112,1496,,0
Rondale Moore,WR113,WR,MIN,1794,24.9,No,WR113,1474,,0
Luke Schoonmaker,TE41,TE,DAL,1791,26.6,No,TE39,1665,,0
Cade Stover,TE42,TE,HOU,1784,24.9,No,TE41,1536,,0
Jonathan Mingo,WR114,WR,DAL,1750,24.0,No,WR116,1433,,0
Dillon Gabriel,QB35,QB,FA,1745,-1.0,Yes,QB50,1390,,0
Dameon Pierce,RB79,RB,HOU,1743,25.2,No,RB81,1428,,0
Jacob Cowing,WR115,WR,SFO,1739,24.2,No,WR117,1429,,0
Zack Moss,RB80,RB,CIN,1737,27.4,No,RB76,1661,,0
Jameis Winston,QB36,QB,NYG,1717,31.3,No,QB38,2002,,0
Curtis Samuel,WR116,WR,BUF,1704,28.7,No,WR111,1507,,0
2025 Late 4th,,PI,,1700,,,,1601,,0
Khalil Herbert,RB81,RB,IND,1681,27.0,No,RB83,1399,,0
2027 Early 4th,,PI,,1676,,,,1534,,0
Calvin Austin III,WR117,WR,PIT,1674,26.1,No,WR115,1446,,0
2026 Mid 4th,,PI,,1668,,,,1528,,0
Sincere McCormick,RB82,RB,LVR,1645,24.6,No,RB86,1339,,0
Kirk Cousins,QB37,QB,ATL,1634,36.7,No,QB35,2294,,0
Emanuel Wilson,RB83,RB,GBP,1626,26.0,No,RB85,1359,,0
Ty Johnson,RB84,RB,BUF,1624,27.6,No,RB82,1398.99,,0
Mike Williams,WR118,WR,LAC,1613,30.6,No,WR118,1422,,0
Xavier Hutchinson,WR119,WR,HOU,1612.99,24.9,No,WR120,1372,,0
Greg Dortch,WR120,WR,ARI,1603,26.9,No,WR119,1400,,0
Alexander Mattison,RB85,RB,MIA,1602.99,26.8,No,RB84,1384,,0
Jaydon Blue,RB86,RB,FA,1582,-1.0,Yes,RB80,1467,,0
Diontae Johnson,WR121,WR,BAL,1569,28.8,No,WR122,1331,,0
Treylon Burks,WR122,WR,TEN,1563,25.1,No,WR121,1363,,0
Tyler Conklin,TE43,TE,LAC,1536,29.7,No,TE43,1397,,0
Zamir White,RB87,RB,LVR,1524,25.6,No,RB88,1253,,0
Derek Carr,QB38,QB,NOS,1515,34.1,No,QB36,2210.99,,0
Colby Parkinson,TE44,TE,LAR,1513,26.3,No,TE45,1330.99,,0
Cam Akers,RB88,RB,MIN,1505,25.8,No,RB87,1299,,0
2027 Mid 4th,,PI,,1499,,,,1348,,0
Darnell Washington,TE45,TE,PIT,1488,23.7,No,TE46,1324,,0
Ray-Ray McCloud,WR123,WR,ATL,1482,28.5,No,WR124,1289,,0
Devontez Walker,WR124,WR,BAL,1480,23.8,No,WR125,1283,,0
Tahj Washington,WR125,WR,MIA,1479,23.9,No,WR123,1315,,0
Jake Bobo,WR126,WR,SEA,1471,26.7,No,WR127,1258,,0
Will Levis,QB39,QB,TEN,1467,25.8,No,QB40,1864.99,,0
2026 Late 4th,,PI,,1458,,,,1328,,0
Daniel Jones,QB40,QB,IND,1453,27.9,No,QB33,2457,,0
Daniel Bellinger,TE46,TE,NYG,1436,24.6,No,TE47,1298,,0
Taysom Hill,TE47,TE,NOS,1434,34.7,No,TE44,1338,,0
Israel Abanikanda,RB89,RB,SFO,1426,22.6,No,RB89,1229,,0
Tommy Tremble,TE48,TE,CAR,1414,24.9,No,TE50,1247,,0
Kendrick Bourne,WR127,WR,NEP,1412,29.7,No,WR126,1267,,0
Bub Means,WR129,WR,NOS,1401,24.3,No,WR128,1248,,0
Brenden Rice,WR128,WR,LAC,1400.99,23.1,No,WR132,1170,,0
Jordan James,RB90,RB,FA,1398,-1.0,Yes,RB96,1039,,0
Brandin Cooks,WR130,WR,NOS,1384,31.6,No,WR130,1221,,0
AJ Dillon,RB91,RB,PHI,1372,27.0,No,RB90,1172,,0
Tyler Higbee,TE49,TE,LAR,1362,32.3,No,TE48,1257,,0
Will Dissly,TE50,TE,LAC,1361,28.8,No,TE49,1250,,0
